"|","|__ico","|__icdph","|__date","|__totalPrice","|__vatAmountBasic","|__taxBaseBasic","|__vatAmountReduced","|__vatRateReduced"
"O-F040DFA794264EA080DFA794267EA0C7","44512031","SK2022722724","23.12.2020 09:51:40","61.26","null","null","null","null"
"O-344DEE80E95241AD8DEE80E952F1ADA0","44512031","SK2022722724","21.12.2020 15:24:54","16.44","null","null","null","null"
"O-1FB1D5BC77CB42AFB1D5BC77CB72AF87","51231735","SK7120001482","05.12.2020 19:32:57","17.44","2.91","14.53","0.0","10.0"
"O-C19E53F634ED416A9E53F634EDF16AC9","46630228","SK2023498565","18.12.2020 12:08:47","10.0","1.67","8.33","0.0","10.0"
"O-96017D59A29441D5817D59A29451D508","51231735","SK7120001482","21.11.2020 17:35:44","29.67","4.95","24.72","0.0","10.0"
"O-4B8E56CECAC94D2C8E56CECAC9CD2C44","44872259","SK2022857166","13.11.2020 09:53:12","57.43","9.57","47.87","0.0","10.0"
"O-EAAAB8955D8C43B1AAB8955D8C43B1B8","36494160","SK2021831988","15.12.2020 08:14:37","17.28","2.88","14.4","null","null"
"O-692044DE7AFF4A36A044DE7AFF0A36A3","50812068","SK2120483134","17.12.2020 11:16:52","6.8","1.13","5.67","null","null"
"O-F83D969092C24E5DBD969092C22E5D93","31633200","SK2020423680","17.12.2020 12:02:01","13.25","2.21","11.04","null","null"
"O-FD2DC5B5CB4446E4ADC5B5CB4426E47C","44400578","SK2022684378","09.12.2020 09:10:52","32.3","5.38","26.92","0.0","10.0"
"O-2D6DA97B87964072ADA97B8796207275","35838949","SK2020262684","18.12.2020 19:48:20","12.95","2.16","10.79","0.0","10.0"
"O-C36412E5BEBD4D66A412E5BEBD1D66A3","35838949","SK2020262684","05.12.2020 19:55:46","9.98","1.66","8.32","0.0","10.0"
"O-96C07C6F44454A88807C6F4445FA88DB","36478598","SK2020009343","21.12.2020 15:32:56","19.2","3.2","16.0","0.0","10.0"
"O-DDEAFC2CA8AA4186AAFC2CA8AAC18692","44400578","SK2022684378","22.12.2020 09:29:38","23.12","3.85","19.27","0.0","10.0"
"O-C65EE546A3E647B09EE546A3E687B020","33276714","SK1020771609","07.12.2020 09:26:49","25.4","4.23","21.17","null","null"
"O-B79F5BF4948943A79F5BF4948903A73C","51231735","SK7120001482","22.12.2020 16:01:34","15.73","2.62","13.11","0.0","10.0"
"O-100AA52247DC4EF28AA52247DC8EF25E","44512031","SK2022722724","16.09.2020 10:01:15","9.17","1.53","7.64","0.0","10.0"
"O-3B9F109D9552440A9F109D9552D40AB4","35457112","SK1020669727","18.09.2020 11:22:01","7.5","1.25","6.25","null","null"
"O-B5C03C09EDA9441B803C09EDA9141B77","31633200","SK2020423680","02.09.2020 15:40:11","15.14","2.52","12.62","null","null"
"O-C08EF9250DF04BEC8EF9250DF07BEC07","32938071","SK1020756363","05.10.2020 09:47:03","10.02","1.67","8.35","null","null"
"O-CC7777551A1C4C2EB777551A1CBC2E44","36501921","SK2021946245","30.11.2020 09:07:29","28.36","4.73","23.63","null","null"
"O-D78E95F9E54E4F0F8E95F9E54E1F0F74","44512031","SK2022722724","29.09.2020 14:16:26","42.45","7.08","35.37","0.0","10.0"
"O-FF71553B3CD240A4B1553B3CD260A49C","51231735","SK7120001482","27.11.2020 18:54:05","45.24","7.54","37.7","0.0","10.0"
"O-C1319798D5E24A11B19798D5E22A1143","51231735","SK7120001482","25.11.2020 14:34:23","343.05","57.18","285.87","0.0","10.0"
"O-56FDD462F122404FBDD462F122704F2F","30651638","SK1020742030","27.11.2020 10:17:09","60.41","10.07","50.34","null","null"
"V-EA1170A9B0154E059170A9B0156E05B0","50581341","SK2120395585","11.11.2020 08:57:44","670.0","111.67","558.33","null","null"
"O-473950A48F074A92B950A48F075A9234","48258946","SK2120131651","20.11.2020 11:07:15","109.98","18.33","91.65","0.0","10.0"
"O-6237196ACD4C4D44B7196ACD4C6D447C","36505561","SK2022002059","14.11.2020 08:34:16","63.73","10.62","53.11","null","null"
"O-B5D79C3A6C6345EE979C3A6C6365EE81","33276714","SK1020771609","18.12.2020 12:11:51","279.71","46.62","233.09","null","null"
"O-80EDA6669E8A4E1FADA6669E8A2E1FAC","44512031","SK2022722724","11.01.2021 09:19:19","10.83","null","null","null","null"
"O-638B9831254342408B98312543124045","52462129","SK2121043463","18.12.2020 13:31:50","75.74","13.48","67.38","0.0","10.0"
"O-741CFB195AA942399CFB195AA93239DB","31321828","SK7020000317","07.12.2020 21:21:29","16.89","2.82","14.07","0.0","10.0"
"O-2756E037D46C410B96E037D46C510B55","31321828","SK7020000317","04.12.2020 20:14:39","27.8","4.63","23.17","0.0","10.0"
"O-B1933A6F2EAB4246933A6F2EAB5246A4","36477630","SK2020009233","07.12.2020 13:19:05","18.19","3.03","15.16","0.0","10.0"
"O-04363CCAE8144DECB63CCAE8149DEC3B","35712783","SK2020227616","07.12.2020 14:02:29","11.99","2.0","9.99","0.0","10.0"
"O-1E37E2E5FC29440CB7E2E5FC29C40C20","35838949","SK2020262684","05.12.2020 12:18:38","2.58","0.43","2.15","0.0","10.0"
"O-7066A46C094D4036A6A46C094D8036CB","36495336","SK2021846629","05.12.2020 09:47:22","8.5","1.42","7.08","null","null"
"O-B91D8CDB9A074B7B9D8CDB9A077B7B54","35739487","SK2020270186","05.12.2020 10:06:01","5.99","1.0","4.99","0.0","10.0"
"O-F017B05C29FB477B97B05C29FB777BC7","45952671","SK2023150701","01.12.2020 16:27:15","48.0","8.0","40.0","0.0","10.0"
"O-6BDEEF08E2FF45309EEF08E2FF85301F","35838949","SK2020262684","01.12.2020 17:42:00","12.03","2.01","10.02","0.0","10.0"
"O-16266ED370D44BBCA66ED370D45BBC04","36495336","SK2021846629","05.12.2020 09:35:02","10.5","1.75","8.75","null","null"
"O-146D9117114349F7AD9117114389F7D2","35712783","SK2020227616","27.10.2020 15:15:25","129.0","21.5","107.5","0.0","10.0"
"O-3D9C6FD332C84D429C6FD332C8AD4233","51231735","SK7120001482","12.12.2020 13:36:37","19.97","3.33","16.64","0.0","10.0"
"O-F637C0757DB34CF9B7C0757DB33CF947","45503249","SK2023008911","16.12.2020 16:35:18","8.35","1.39","6.96","null","null"
"O-9A400F46005E4610800F46005E06100D","35838949","SK2020262684","02.12.2020 19:10:09","263.4","43.9","219.5","0.0","10.0"
"O-D1A703B109064F97A703B10906EF9712","36280518","SK2022137249","16.12.2020 16:50:54","24.9","4.15","20.75","0.0","10.0"
"O-22AF7DB4636A45D3AF7DB4636AA5D30B","44404263","SK2022678009","22.09.2020 11:46:21","31.37","5.23","26.14","null","null"
"O-36AF9DABD80C4272AF9DABD80C0272B6","35793783","SK2020279415","08.12.2020 14:49:26","24.72","3.88","19.4","0.13","10.0"
"O-2594042C602941FE94042C602961FE92","51231735","SK7120001482","23.12.2020 15:09:39","5.16","0.86","4.3","0.0","10.0"
"O-2DC1DED85D8949F681DED85D89A9F6A3","52462129","SK2121043463","24.11.2020 15:21:07","61.05","10.89","54.48","0.0","10.0"
"O-A8D3FB197C464CB893FB197C46ECB81E","17125634","SK1020764074","09.09.2020 18:40:44","10.45","1.74","8.71","null","null"
"O-141613B69C694FEA9613B69C694FEAD7","35838949","SK2020262684","10.09.2020 19:29:35","87.09","14.52","72.57","0.0","10.0"
"O-8BEFE9EEC6E34B42AFE9EEC6E38B420D","36782637","SK2022382527","14.10.2020 09:28:31","75.0","12.5","62.5","null","null"
"O-5EB2238729A24245B2238729A2E245BC","36484610","SK2020015206","05.03.2020 09:20:50","3.3","0.55","2.75","null","null"
"O-92C029AAC6604C4E8029AAC660AC4EA0","36495336","SK2021846629","07.12.2020 07:27:42","22.05","3.68","18.37","null","null"
